NIFTY 50,NIFTY NEXT 50,NIFTY MIDCAP 50,NIFTY SMALLCAP 50,FAV 30
ADANIPORTS.NS,ABBOTINDIA.NS,AMARAJABAT.NS,AARTIDRUGS.NS,ADANIENT.NS
ASIANPAINT.NS,ACC.NS,APOLLOTYRE.NS,AFFLE.NS,ADANIGREEN.NS
AXISBANK.NS,ADANIENT.NS,ASHOKLEY.NS,ALKYLAMINE.NS,ADANIPORTS.NS
BAJAJ-AUTO.NS,ADANIGREEN.NS,AUBANK.NS,ALOKINDS.NS,ADANITRANS.NS
BAJAJFINSV.NS,ADANITRANS.NS,BALKRISIND.NS,AMBER.NS,AXISBANK.NS
BAJFINANCE.NS,ALKEM.NS,BANKBARODA.NS,APLAPOLLO.NS,BAJAJ-AUTO.NS
BHARTIARTL.NS,AMBUJACEM.NS,BANKINDIA.NS,AVANTIFEED.NS,BANKBARODA.NS
BPCL.NS,APOLLOHOSP.NS,BATAINDIA.NS,BAJAJELEC.NS,BHARTIARTL.NS
BRITANNIA.NS,AUROPHARMA.NS,BEL.NS,BDL.NS,CIPLA.NS
CIPLA.NS,BAJAJHLDNG.NS,BHARATFORG.NS,BIRLACORPN.NS,HDFCBANK.NS
COALINDIA.NS,BANDHANBNK.NS,BHEL.NS,BSOFT.NS,HDFCLIFE.NS
DIVISLAB.NS,BERGEPAINT.NS,CANBK.NS,CAMS.NS,HEROMOTOCO.NS
DRREDDY.NS,BIOCON.NS,CASTROLIND.NS,CANFINHOME.NS,HINDALCO.NS
EICHERMOT.NS,BOSCHLTD.NS,CHOLAFIN.NS,CDSL.NS,HINDUNILVR.NS
GRASIM.NS,CADILAHC.NS,COFORGE.NS,CEATLTD.NS,ICICIBANK.NS
HCLTECH.NS,COLPAL.NS,CONCOR.NS,CHAMBLFERT.NS,IDFCFIRSTB.NS
HDFC.NS,DABUR.NS,CUMMINSIND.NS,COCHINSHIP.NS,INDIGO.NS
HDFCBANK.NS,DLF.NS,ESCORTS.NS,CYIENT.NS,INDUSINDBK.NS
HDFCLIFE.NS,DMART.NS,EXIDEIND.NS,DBL.NS,IOC.NS
HEROMOTOCO.NS,GAIL.NS,FEDERALBNK.NS,FRETAIL.NS,JSWSTEEL.NS
HINDALCO.NS,GLAND.NS,GLENMARK.NS,FSL.NS,KOTAKBANK.NS
HINDUNILVR.NS,GODREJCP.NS,GMRINFRA.NS,GMMPFAUDLR.NS,ONGC.NS
ICICIBANK.NS,HAVELLS.NS,GODREJPROP.NS,GRANULES.NS,PNB.NS
INDUSINDBK.NS,HDFCAMC.NS,IBULHSGFIN.NS,GRAPHITE.NS,RELIANCE.NS
INFY.NS,HINDPETRO.NS,IDEA.NS,HAPPSTMNDS.NS,SAIL.NS
IOC.NS,ICICIGI.NS,IDFCFIRSTB.NS,IDFC.NS,SBIN.NS
ITC.NS,ICICIPRULI.NS,IRCTC.NS,INDIANB.NS,TATAMOTORS.NS
JSWSTEEL.NS,IGL.NS,JINDALSTEL.NS,JBCHEPHARM.NS,TVSMOTOR.NS
KOTAKBANK.NS,INDIGO.NS,L&TFH.NS,KAJARIACER.NS,YESBANK.NS
LT.NS,INDUSTOWER.NS,LICHSGFIN.NS,KEC.NS,
M&M.NS,JUBLFOOD.NS,M&MFIN.NS,MCX.NS,
MARUTI.NS,LTI.NS,MANAPPURAM.NS,NATIONALUM.NS,
NESTLEIND.NS,LUPIN.NS,MFSL.NS,NBCC.NS,
NTPC.NS,MARICO.NS,MGL.NS,PNBHOUSING.NS,
ONGC.NS,MCDOWELL-N.NS,MINDTREE.NS,PVR.NS,
POWERGRID.NS,MRF.NS,PAGEIND.NS,RADICO.NS,
RELIANCE.NS,MUTHOOTFIN.NS,PFC.NS,RALLIS.NS,
SBILIFE.NS,NAUKRI.NS,RAMCOCEM.NS,RITES.NS,
SBIN.NS,NMDC.NS,RBLBANK.NS,ROUTE.NS,
SHREECEM.NS,PEL.NS,RECLTD.NS,RVNL.NS,
SUNPHARMA.NS,PETRONET.NS,SAIL.NS,SPARC.NS,
TATACONSUM.NS,PGHH.NS,SRF.NS,STAR.NS,
TATAMOTORS.NS,PIDILITIND.NS,SRTRANSFIN.NS,STLTECH.NS,
TATASTEEL.NS,PNB.NS,SUNTV.NS,SUNTECK.NS,
TCS.NS,SBICARD.NS,TATAPOWER.NS,THYROCARE.NS,
TECHM.NS,SIEMENS.NS,TORNTPOWER.NS,TV18BRDCST.NS,
TITAN.NS,TORNTPHARM.NS,TVSMOTOR.NS,UTIAMC.NS,
ULTRACEMCO.NS,UBL.NS,UNIONBANK.NS,VAKRANGEE.NS,
UPL.NS,VEDL.NS,VOLTAS.NS,VIPIND.NS,
WIPRO.NS,YESBANK.NS,ZEEL.NS,WOCKPHARMA.NS,
